Name,Matches,Inns,Not Out,Runs,HS,Ave,SRate,100,50,Ct,St
KA Pollard (Lond),6,5,4,113,34*,113,166.17,0,0,3,
L Gregory (Trent),9,8,7,100,35*,100,169.49,0,0,2,
TA Lammonby (Manc),4,3,2,60,26*,60,162.16,0,0,3,
DJ Malan (Trent),9,9,2,377,98*,53.85,166.81,0,4,1,
RE van der Merwe (North),5,2,1,45,30  ,45,136.36,0,0,3,
TW Hartley (Manc),10,3,2,44,17*,44,112.82,0,0,7,
WG Jacks (Oval),7,7,1,261,108*,43.5,171.71,1,2,4,
C Munro (Trent),9,8,3,206,67*,41.2,168.85,0,1,4,
JC Buttler (Manc),5,5,0,203,68  ,40.6,149.26,0,2,3,
PR Stirling (South),3,3,1,79,74*,39.5,151.92,0,1,1,
MJJ Critchley (Welsh),5,5,2,118,55*,39.33,153.24,0,1,0,
PD Salt (Manc),10,10,1,353,70*,39.22,152.81,0,3,3,2
GJ Maxwell (Lond),4,4,1,116,43*,38.66,150.64,0,0,4,
JM Cox (Oval),8,6,1,191,61*,38.2,143.6,0,1,4,
TK Curran (Oval),8,6,3,114,30  ,38,223.52,0,0,4,
A Lyth (North),8,8,0,299,79  ,37.37,175.88,0,3,1,
AD Russell (Manc),6,6,2,148,64*,37,168.18,0,1,5,
RS Bopara (Lond),4,4,1,107,45  ,35.66,184.48,0,0,1,
DR Sams (Trent),9,5,2,105,55*,35,190.9,0,1,3,
LS Livingstone (Birm),6,6,1,173,51*,34.6,145.37,0,1,0,
R Ahmed (South),5,2,1,34,33  ,34,113.33,0,0,0,
DR Briggs (Oval),5,3,2,32,29*,32,213.33,0,0,0,
BM Duckett (Welsh),8,8,1,220,64*,31.42,135.8,0,1,3,
BR McDermott (Lond),5,5,0,157,59  ,31.4,133.05,0,1,1,
AJ Hose (North),8,7,1,182,59  ,30.33,159.64,0,2,0,
JL du Plooy (Welsh),4,4,1,90,37  ,30,145.16,0,0,0,
MS Wade (Birm),7,7,1,174,81  ,29,156.75,0,1,2,
AD Hales (Trent),9,9,0,259,59  ,28.77,152.35,0,2,5,
SM Curran (Oval),8,8,1,192,60  ,27.42,132.41,0,1,4,
Z Crawley (Lond),5,5,0,131,41  ,26.2,120.18,0,0,4,
A Zampa (Welsh),4,3,2,26,14*,26,108.33,0,0,1,
IA Cockbain (Trent),2,2,1,26,20*,26,108.33,0,0,0,
AL Davies (South),8,7,1,155,51*,25.83,119.23,0,1,5,
WCF Smeed (Birm),8,8,1,179,101*,25.57,172.11,1,0,3,
D Wiese (North),7,7,1,150,50  ,25,182.92,0,1,1,
RA Whiteley (South),8,6,0,150,52  ,25,142.85,0,1,5,
AJ Turner (Manc),5,4,1,75,26  ,25,170.45,0,0,3,
LJ Evans (Manc),10,9,2,172,72  ,24.57,184.94,0,1,2,
DJ Bell-Drummond (Lond),4,4,0,97,46  ,24.25,142.64,0,0,1,
SP Narine (Oval),6,5,3,48,23  ,24,120,0,0,1,
D Pretorius (Welsh),5,4,1,71,29  ,23.66,177.5,0,0,3,
JM Vince (South),8,7,1,136,71*,22.66,154.54,0,1,8,
WL Madsen (Manc),10,9,2,157,53*,22.42,121.7,0,1,3,
CJ Jordan (South),3,2,1,22,15  ,22,183.33,0,0,0,
MM Ali (Birm),8,8,0,172,52  ,21.5,157.79,0,1,2,
HC Brook (North),6,6,2,85,33*,21.25,139.34,0,0,7,
HWR Cartwright (Oval),5,4,1,62,42  ,20.66,131.91,0,0,6,
MAH Hammond (Birm),7,7,1,118,31  ,19.66,122.91,0,0,1,
T Stubbs (Manc),9,9,1,157,46  ,19.62,146.72,0,0,9,
MS Pepper (North),6,5,1,77,21*,19.25,122.22,0,0,1,
DW Lawrence (Lond),7,7,0,129,43  ,18.42,125.24,0,0,3,
AM Rossington (Lond),9,9,0,164,66  ,18.22,178.26,0,1,4,2
DJ Willey (North),6,6,1,90,29  ,18,107.14,0,0,3,
LA Dawson (Lond),9,8,6,36,7*,18,124.13,0,0,2,
TG Helm (Birm),8,5,2,51,17  ,17,106.25,0,0,3,
RF Higgins (Welsh),2,2,1,17,11  ,17,73.91,0,0,1,
TH David (South),8,7,2,84,22  ,16.8,147.36,0,0,2,
F du Plessis (North),8,8,0,134,56  ,16.75,135.35,0,1,2,
Q de Kock (South),7,7,0,115,37  ,16.42,108.49,0,0,3,
EJG Morgan (Lond),9,9,1,130,47  ,16.25,134.02,0,0,3,
BAC Howell (Birm),8,6,2,63,22  ,15.75,126,0,0,2,
MP Stoinis (South),5,5,1,59,37  ,14.75,111.32,0,0,2,
T Kohler-Cadmore (Trent),9,9,0,132,41  ,14.66,110,0,0,3,1
GHS Garton (South),4,3,1,29,25  ,14.5,170.58,0,0,0,
SR Patel (Trent),9,3,0,43,21  ,14.33,107.5,0,0,1,
T Banton (Welsh),6,6,0,83,44  ,13.83,103.75,0,0,1,
JK Fuller (South),8,5,1,54,25  ,13.5,117.39,0,0,4,
DJ Bravo (North),6,4,2,27,19  ,13.5,108,0,0,1,
SW Billings (Oval),7,7,1,80,53  ,13.33,131.14,0,1,1,
JM Clarke (Welsh),8,8,0,102,37  ,12.75,92.72,0,0,3,
SR Hain (Welsh),3,3,0,37,23  ,12.33,102.77,0,0,1,
DA Miller (Welsh),7,7,1,73,35*,12.16,91.25,0,0,3,
PI Walter (Manc),10,8,1,82,26  ,11.71,167.34,0,0,4,
RR Rossouw (Oval),6,6,0,70,24  ,11.66,112.9,0,0,3,
TJ Moores (Trent),5,2,0,22,16  ,11,104.76,0,0,2,2
CG Benjamin (Birm),8,7,0,66,18  ,9.42,94.28,0,0,4,
JJ Roy (Oval),6,6,0,51,21  ,8.5,100,0,0,1,
RJ Gleeson (Manc),3,1,0,8,8  ,8,100,0,0,0,
JA Simpson (North),4,4,0,31,14  ,7.75,83.78,0,0,5,
JA Thompson (Lond),9,8,1,48,27  ,6.85,117.07,0,0,2,
KW Richardson (Birm),7,3,1,13,9*,6.5,130,0,0,2,
JJ Cobb (Welsh),8,7,0,45,17  ,6.42,93.75,0,0,2,
SA Abbott (Manc),5,2,0,11,10  ,5.5,100,0,0,8,
DA Payne (Welsh),8,3,1,10,8  ,5,111.11,0,0,2,
JG Bethell (Welsh),2,2,0,10,10  ,5,90.9,0,0,0,
OJD Pope (Welsh),2,2,0,10,10  ,5,71.42,0,0,0,
BL D'Oliveira (Birm),2,2,0,10,8  ,5,45.45,0,0,0,
MW Parkinson (Manc),10,3,1,9,6  ,4.5,90,0,0,2,
HJH Brookes (Birm),6,3,2,4,2*,4,66.66,0,0,6,
JP Inglis (Lond),1,1,0,3,3  ,3,37.5,0,0,1,
ME Milnes (Oval),6,2,0,4,4  ,2,100,0,0,4,
DR Mousley (Birm),2,2,0,4,2  ,2,66.66,0,0,1,
MG Hogan (South),7,2,1,2,2*,2,50,0,0,0,
IS Sodhi (Welsh),3,2,1,2,1*,2,50,0,0,0,
FJ Klaassen (Manc),4,1,0,2,2  ,2,40,0,0,1,
JA Haynes (Oval),1,1,0,2,2  ,2,100,0,0,1,
DT Moriarty (South),1,1,0,1,1  ,1,33.33,0,0,0,
CP Wood (Lond),6,1,0,1,1  ,1,100,0,0,1,
TS Mills (South),1,1,0,0,0  ,0,0,0,0,0,
BJ Dwarshuis (Birm),1,1,0,0,0  ,0,0,0,0,0,
M Carter (Trent),2,1,0,0,0  ,0,0,0,0,0,
S Baker (South),3,1,0,0,0  ,0,0,0,0,0,
MS Crane (Lond),9,1,0,0,0  ,0,0,0,0,4,
SG Budinger (Birm),1,1,0,0,0  ,0,0,0,0,0,
AU Rashid (North),8,1,0,0,0  ,0,0,0,0,1,
JE Root (Trent),2,1,1,34,34*,,130.76,0,0,4,
JB Lintott (South),8,3,3,21,10*,,100,0,0,0,
BA Raine (North),4,3,3,14,7*,,155.55,0,0,2,
WD Parnell (North),2,1,1,14,14*,,140,0,0,0,
TS Sangha (Birm),1,1,1,13,13*,,144.44,0,0,0,
Mohammad Hasnain (Oval),5,1,1,11,11*,,275,0,0,0,
Noor Ahmad (Welsh),1,1,1,9,9*,,225,0,0,0,
NT Ellis (Lond),9,3,3,7,5*,,53.84,0,0,4,
NA Sowter (Oval),3,1,1,7,7*,,233.33,0,0,0,
Imran Tahir (Birm),6,1,1,6,6*,,600,0,0,1,
GLS Scrimshaw (Welsh),4,1,1,5,5*,,166.66,0,0,1,
JB Little (Manc),5,1,1,5,5*,,250,0,0,0,
CN Ackermann (Manc),1,1,1,3,3*,,150,0,0,2,
L Wood (Trent),9,1,1,1,1*,,50,0,0,2,
JT Ball (Welsh),8,1,1,1,1*,,16.66,0,0,3,
GL van Buuren (Birm),1,1,1,1,1*,,50,0,0,1,
CN Miles (North),6,1,1,1,1*,,50,0,0,3,
P Hatzoglou (Oval),2,1,1,1,1*,,100,0,0,0,
Wahab Riaz (North),1,0,,,,,,,,0,
Rashid Khan (Trent),2,0,,,,,,,,1,
LJ Fletcher (Trent),2,0,,,,,,,,1,
T van der Gugten (Birm),1,0,,,,,,,,0,
SJ Cook (Trent),6,0,,,,,,,,2,
MT Stanley (Manc),3,0,,,,,,,,0,
PR Brown (Oval),1,0,,,,,,,,0,
T Shamsi (Trent),6,0,,,,,,,,0,
BTJ Wheal (Lond),3,0,,,,,,,,0,
C Overton (South),1,0,,,,,,,,0,
MJ Potts (North),2,0,,,,,,,,0,
RJW Topley (Oval),4,0,,,,,,,,0,
CF Parkinson (North),1,0,,,,,,,,1,